Target  ▾	RA	DEC	Sp. Type	T_eff [K]	B [mag]	V [mag]	G [mag]	Dist [pc]	Explore data	Data products (ascii)	Data products (csv)
HIP45301	09:13:59.6253	-27:31:12.410	K3.5V	4762.0	10.750	9.740	9.337	38.53	GLS Plot	HIP45301_harps_all-data_v1.dat	HIP45301_harps_all-data_v1.csv
HIP46634	09:30:34.9989	+10:35:59.822	N/A	5201.5	nan	nan	8.448	35.36	GLS Plot	HIP46634_harps_all-data_v1.dat	HIP46634_harps_all-data_v1.csv
HIP46655	09:30:44.5850	+00:19:21.600	M3.5Ve	N/A	13.298	11.710	10.494	9.90	GLS Plot	HIP46655_harps_all-data_v1.dat	HIP46655_harps_all-data_v1.csv
HIP46933	09:33:56.1276	-39:35:39.951	K5Vk:	N/A	11.430	10.250	9.775	34.94	GLS Plot	HIP46933_harps_all-data_v1.dat	HIP46933_harps_all-data_v1.csv
HIP47	00:00:32.3981	-56:50:08.163	K3V	4474.1	11.860	10.750	10.283	45.13	GLS Plot	HIP47_harps_all-data_v1.dat	HIP47_harps_all-data_v1.csv
HIP48762	09:56:45.9914	-12:16:13.328	K2.5Vk:	4904.1	10.780	9.910	9.647	48.74	GLS Plot	HIP48762_harps_all-data_v1.dat	HIP48762_harps_all-data_v1.csv
HIP4877	01:02:41.6937	-61:34:18.701	N/A	5125.2	10.910	9.916	9.718	58.20	GLS Plot	HIP4877_harps_all-data_v1.dat	HIP4877_harps_all-data_v1.csv
HIP48953	09:59:11.3549	-09:11:00.257	K4Vk:	4593.7	10.900	9.950	9.479	33.06	GLS Plot	HIP48953_harps_all-data_v1.dat	HIP48953_harps_all-data_v1.csv
HIP49067	10:00:47.7205	-09:31:00.042	K4:V	N/A	10.940	9.874	9.503	41.38	GLS Plot	HIP49067_harps_all-data_v1.dat	HIP49067_harps_all-data_v1.csv
HIP5114	01:05:32.2000	-66:44:32.610	N/A	N/A	10.958	10.030	9.746	41.94	GLS Plot	HIP5114_harps_all-data_v1.dat	HIP5114_harps_all-data_v1.csv
HIP51344	10:29:14.2618	+04:37:12.017	F8	5175.2	10.470	9.650	9.519	564.43	GLS Plot	HIP51344_harps_all-data_v1.dat	HIP51344_harps_all-data_v1.csv
HIP51443	10:30:21.9655	-21:14:12.413	K5Vk:	N/A	10.840	9.660	9.188	29.41	GLS Plot	HIP51443_harps_all-data_v1.dat	HIP51443_harps_all-data_v1.csv
HIP51588	10:32:13.6185	-35:37:41.710	F:wl:	N/A	12.840	11.840	12.024	300.50	GLS Plot	HIP51588_harps_all-data_v1.dat	HIP51588_harps_all-data_v1.csv
HIP5215	01:06:41.5115	+15:16:22.089	M0V	N/A	12.913	11.403	10.504	22.24	GLS Plot	HIP5215_harps_all-data_v1.dat	HIP5215_harps_all-data_v1.csv
HIP523	00:06:19.1852	-65:50:25.917	M4V	N/A	13.751	12.174	11.103	17.44	GLS Plot	HIP523_harps_all-data_v1.dat	HIP523_harps_all-data_v1.csv
