ARCFILE,Object,RA,DEC,Filter,ABMAGLIM,Wavelength,SNR,R (&lambda;/&delta;&lambda;),Product category,Instrument,Date Obs,Exptime,Collection,Product version,Run/Program ID,ORIGFILE,REFERENC
ADP.2014-10-02T10:02:02.537,HD223171,356.83535,-48.27634,,,378.131..691.239,119.7,115000,SCIENCE.SPECTRUM,HARPS,2005-12-19T00:39:55.906,900.0,HARPS,1,072.C-0488(E),HARPS.2005-12-19T00:39:55.905_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-17T11:21:30.213,HD223171,356.83538,-48.27613,,,378.152..691.285,121.2,115000,SCIENCE.SPECTRUM,HARPS,2007-08-28T05:45:38.516,240.0,HARPS,1,072.C-0488(E),HARPS.2007-08-28T05:45:38.516_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2016-07-01T01:03:27.659,HD223171,356.8354,-48.27721,,,378.207..691.324,262.8,115000,SCIENCE.SPECTRUM,HARPS,2016-06-30T07:39:23.266,900.0,HARPS,1,196.C-1006(A),HARPS.2016-06-30T07:39:23.268_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2014-10-07T13:37:13.420,HD223171,356.835417,-48.27678,,,378.144..691.265,116.8,115000,SCIENCE.SPECTRUM,HARPS,2014-09-20T05:59:01.103,450.0,HARPS,1,192.C-0852(A),HARPS.2014-09-20T05:59:01.102_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:07:32.060,HD223171,356.83544,-48.27542,,,378.151..691.280,183.7,115000,SCIENCE.SPECTRUM,HARPS,2006-09-02T06:09:12.423,464.6,HARPS,1,072.C-0488(E),HARPS.2006-09-02T06:09:12.424_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-17T11:21:08.397,HD223171,356.83568,-48.27536,,,378.134..691.250,123.9,115000,SCIENCE.SPECTRUM,HARPS,2007-10-12T02:51:38.010,900.0,HARPS,1,072.C-0488(E),HARPS.2007-10-12T02:51:38.010_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2015-10-25T02:00:47.940,HD223171,356.835687,-48.28109,,,378.162..691.238,221.8,115000,SCIENCE.SPECTRUM,HARPS,2015-10-24T04:01:23.196,900.0,HARPS,1,192.C-0852(A),HARPS.2015-10-24T04:01:23.197_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2014-09-16T11:03:55.537,HD223171,356.83571,-48.27625,,,378.169..691.310,173.4,115000,SCIENCE.SPECTRUM,HARPS,2006-07-28T08:06:11.363,468.1,HARPS,1,077.C-0364(E),HARPS.2006-07-28T08:06:11.363_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:04:02.980,HD223171,356.83573,-48.27598,,,378.150..691.285,154.9,115000,SCIENCE.SPECTRUM,HARPS,2006-08-27T06:03:28.873,372.3,HARPS,1,072.C-0488(E),HARPS.2006-08-27T06:03:28.873_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2022-07-06T01:08:59.831,HD223171,356.835981,-48.27669,,,378.222..691.320,201.2,115000,SCIENCE.SPECTRUM,HARPS,2022-07-05T10:18:19.506,900.0,HARPS,1,109.2374.001,HARPS.2022-07-05T10:18:19.505_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-05-26T01:03:19.630,HD223171,356.835991,-48.27799,,,378.210..691.332,261.7,115000,SCIENCE.SPECTRUM,HARPS,2018-05-25T09:30:03.786,900.0,HARPS,1,0100.C-0487(A),HARPS.2018-05-25T09:30:03.788_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2014-09-16T11:05:08.683,HD223171,356.83601,-48.27586,,,378.150..691.285,163.3,115000,SCIENCE.SPECTRUM,HARPS,2006-08-27T06:10:17.003,372.3,HARPS,1,072.C-0488(E),HARPS.2006-08-27T06:10:17.003_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-02T10:01:38.707,HD223171,356.83602,-48.27658,,,378.134..691.241,186.8,115000,SCIENCE.SPECTRUM,HARPS,2005-12-24T01:08:20.583,400.0,HARPS,1,072.C-0488(E),HARPS.2005-12-24T01:08:20.584_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:21:32.893,HD223171,356.83603,-48.27528,,,378.132..691.250,62.9,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:42:40.733,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:42:40.733_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2022-07-05T01:16:19.507,HD223171,356.836041,-48.27683,,,378.221..691.320,197.5,115000,SCIENCE.SPECTRUM,HARPS,2022-07-04T10:15:55.360,900.0,HARPS,1,109.2374.001,HARPS.2022-07-04T10:15:55.361_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2014-10-02T10:02:39.627,HD223171,356.8361,-48.27696,,,378.134..691.241,180.2,115000,SCIENCE.SPECTRUM,HARPS,2005-12-24T01:15:31.136,400.0,HARPS,1,072.C-0488(E),HARPS.2005-12-24T01:15:31.137_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:21:08.387,HD223171,356.83614,-48.27537,,,378.138..691.267,188.3,115000,SCIENCE.SPECTRUM,HARPS,2004-09-18T04:36:34.743,900.0,HARPS,1,072.C-0488(E),HARPS.2004-09-18T04:36:34.744_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:23:28.360,HD223171,356.83619,-48.27528,,,378.132..691.250,74.7,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:51:46.316,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:51:46.317_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:19:30.123,HD223171,356.83623,-48.27531,,,378.132..691.250,72.9,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:47:13.570,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:47:13.569_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:23:34.663,HD223171,356.83626,-48.2753,,,378.132..691.250,72.6,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:45:42.220,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:45:42.220_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:23:10.067,HD223171,356.83626,-48.2753,,,378.132..691.250,70.9,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:48:44.996,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:48:44.999_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:23:36.670,HD223171,356.83629,-48.27528,,,378.132..691.250,74.0,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:53:16.986,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:53:16.986_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:07:01.080,HD223171,356.83633,-48.27585,,,378.151..691.279,143.2,115000,SCIENCE.SPECTRUM,HARPS,2006-09-03T06:43:00.800,194.1,HARPS,1,072.C-0488(E),HARPS.2006-09-03T06:43:00.800_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:20:38.217,HD223171,356.83634,-48.27527,,,378.132..691.250,76.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:54:47.853,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:54:47.854_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:23:25.573,HD223171,356.83635,-48.27525,,,378.132..691.250,73.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:44:11.410,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:44:11.411_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-02T10:01:18.883,HD223171,356.83636,-48.27658,,,378.182..691.331,238.3,115000,SCIENCE.SPECTRUM,HARPS,2005-06-22T10:12:07.706,900.0,HARPS,1,072.C-0488(E),HARPS.2005-06-22T10:12:07.707_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:20:22.703,HD223171,356.83636,-48.2753,,,378.132..691.250,70.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:50:15.496,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:50:15.497_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:22:35.530,HD223171,356.83639,-48.27526,,,378.132..691.250,76.5,115000,SCIENCE.SPECTRUM,HARPS,2004-10-11T03:56:19.103,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-11T03:56:19.104_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:06:03.377,HD223171,356.83643,-48.2759,,,378.151..691.279,149.2,115000,SCIENCE.SPECTRUM,HARPS,2006-09-03T06:50:37.453,194.1,HARPS,1,072.C-0488(E),HARPS.2006-09-03T06:50:37.453_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:05:04.813,HD223171,356.83646,-48.27583,,,378.151..691.279,150.7,115000,SCIENCE.SPECTRUM,HARPS,2006-09-03T06:46:48.913,194.1,HARPS,1,072.C-0488(E),HARPS.2006-09-03T06:46:48.912_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:19:44.930,HD223171,356.83651,-48.27538,,,378.133..691.251,37.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:30:50.193,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:30:50.192_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:07:50.583,HD223171,356.83652,-48.27614,,,378.162..691.308,122.5,115000,SCIENCE.SPECTRUM,HARPS,2006-08-01T08:15:10.980,585.1,HARPS,1,072.C-0488(E),HARPS.2006-08-01T08:15:10.979_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-13T14:40:31.953,HD223171,356.836521,-48.27984,,,378.137..691.248,199.9,115000,SCIENCE.SPECTRUM,HARPS,2014-10-13T06:45:23.720,900.0,HARPS,1,192.C-0852(A),HARPS.2014-10-13T06:45:23.719_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:07:24.153,HD223171,356.83653,-48.27565,,,378.126..691.236,202.0,115000,SCIENCE.SPECTRUM,HARPS,2006-12-10T01:56:45.463,720.0,HARPS,1,072.C-0488(E),HARPS.2006-12-10T01:56:45.463_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:23:06.730,HD223171,356.83654,-48.27539,,,378.133..691.251,44.0,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:38:25.220,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:38:25.220_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:19:28.210,HD223171,356.83656,-48.27544,,,378.133..691.251,43.9,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:39:56.130,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:39:56.129_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:21:41.303,HD223171,356.83656,-48.27542,,,378.133..691.251,41.1,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:33:52.050,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:33:52.051_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-16T11:06:27.217,HD223171,356.83657,-48.27589,,,378.151..691.279,148.5,115000,SCIENCE.SPECTRUM,HARPS,2006-09-03T06:54:25.406,194.1,HARPS,1,072.C-0488(E),HARPS.2006-09-03T06:54:25.405_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:23:23.253,HD223171,356.83657,-48.27537,,,378.133..691.251,52.5,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:41:27.220,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:41:27.220_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:19:44.323,HD223171,356.83659,-48.27543,,,378.133..691.251,54.1,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:42:57.710,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:42:57.710_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:20:59.517,HD223171,356.8366,-48.27441,,,378.129..691.246,61.5,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:32:23.456,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:32:23.456_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-17T11:20:26.543,HD223171,356.83661,-48.27588,,,378.150..691.279,116.2,115000,SCIENCE.SPECTRUM,HARPS,2007-09-04T06:03:09.396,150.0,HARPS,1,072.C-0488(E),HARPS.2007-09-04T06:03:09.397_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:21:33.143,HD223171,356.83663,-48.27539,,,378.133..691.251,37.7,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:35:23.090,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:35:23.091_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:20:42.647,HD223171,356.83664,-48.27446,,,378.129..691.246,56.6,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:43:02.476,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:43:02.478_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:21:14.947,HD223171,356.83665,-48.27542,,,378.133..691.251,52.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:44:28.930,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:44:28.930_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:19:18.840,HD223171,356.83667,-48.27543,,,378.133..691.251,41.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:36:54.310,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:36:54.310_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:20:34.177,HD223171,356.83667,-48.27444,,,378.129..691.246,62.6,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:38:28.343,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:38:28.342_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2016-06-30T01:02:40.926,HD223171,356.836681,-48.2758,,,378.207..691.323,216.0,115000,SCIENCE.SPECTRUM,HARPS,2016-06-29T07:05:24.360,900.0,HARPS,1,196.C-1006(A),HARPS.2016-06-29T07:05:24.360_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2014-09-17T11:20:24.100,HD223171,356.83672,-48.2758,,,378.150..691.279,122.1,115000,SCIENCE.SPECTRUM,HARPS,2007-09-04T06:06:10.356,150.0,HARPS,1,072.C-0488(E),HARPS.2007-09-04T06:06:10.358_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:21:24.803,HD223171,356.83675,-48.27545,,,378.134..691.251,38.6,115000,SCIENCE.SPECTRUM,HARPS,2004-10-10T03:32:21.150,60.0,HARPS,1,072.C-0488(E),HARPS.2004-10-10T03:32:21.151_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:22:49.403,HD223171,356.83676,-48.27451,,,378.129..691.246,60.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:30:52.686,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:30:52.686_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-18T12:15:35.927,HD223171,356.83677,-48.27606,,,378.148..691.282,229.4,115000,SCIENCE.SPECTRUM,HARPS,2008-08-30T06:01:17.513,900.0,HARPS,1,072.C-0488(E),HARPS.2008-08-30T06:01:17.512_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:19:12.357,HD223171,356.83677,-48.27447,,,378.129..691.246,60.3,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:35:25.313,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:35:25.313_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-17T11:24:47.523,HD223171,356.83678,-48.27606,,,378.148..691.278,111.3,115000,SCIENCE.SPECTRUM,HARPS,2007-09-05T05:41:39.900,160.0,HARPS,1,072.C-0488(E),HARPS.2007-09-05T05:41:39.899_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-17T11:24:11.823,HD223171,356.83679,-48.27603,,,378.148..691.278,110.3,115000,SCIENCE.SPECTRUM,HARPS,2007-09-05T05:44:51.080,160.0,HARPS,1,072.C-0488(E),HARPS.2007-09-05T05:44:51.081_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:22:58.640,HD223171,356.83679,-48.2745,,,378.129..691.246,59.1,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:41:31.630,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:41:31.629_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:19:12.967,HD223171,356.8368,-48.27448,,,378.129..691.246,58.9,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:44:33.816,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:44:33.817_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:22:29.923,HD223171,356.8368,-48.27443,,,378.129..691.246,61.4,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:33:54.266,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:33:54.265_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-17T11:23:53.093,HD223171,356.83682,-48.27581,,,378.150..691.279,123.5,115000,SCIENCE.SPECTRUM,HARPS,2007-09-04T06:09:12.586,150.0,HARPS,1,072.C-0488(E),HARPS.2007-09-04T06:09:12.588_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:22:48.247,HD223171,356.83682,-48.27449,,,378.129..691.246,60.9,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:36:56.753,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:36:56.753_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-10-01T10:22:38.600,HD223171,356.83685,-48.27444,,,378.129..691.246,59.4,115000,SCIENCE.SPECTRUM,HARPS,2004-10-18T03:39:59.910,59.98,HARPS,1,072.C-0488(E),HARPS.2004-10-18T03:39:59.910_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
