stars,spectral_types,specfiles,hits_start,hits_end,waves1,waves2,distances,HorK
GJ900,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-19T02:01:30.467.fits,15183,15220,3933.34,3933.71,20.82,T
GJ900,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-19T02:01:30.467.fits,18663,18699,3968.14,3968.5,20.82,T
GJ9592,M1.0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:05:26.100.fits,15150,15177,3933.38,3933.65,10.12,T
GJ9592,M1.0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:05:26.100.fits,18631,18655,3968.19,3968.43,10.12,T
GJ9714,K6Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-09-29T02:01:13.217.fits,15177,15207,3933.32,3933.62,20.52,T
GJ9714,K6Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-09-29T02:01:13.217.fits,18659,18686,3968.14,3968.41,20.52,T
GJ9828,K6+Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:20:37.410.fits,18717,18722,3968.4,3968.45,29.22,T
GJ9828,K6+Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:20:37.410.fits,18723,18727,3968.46,3968.5,29.22,T
GJ9828,K6+Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:20:37.410.fits,18729,18735,3968.52,3968.58,29.22,T
HD119802,K3V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:37.647.fits,15199,15205,3933.38,3933.44,22.1,T
HD133813,G9V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-23T11:02:48.413.fits,15217,15241,3933.51,3933.75,52.54,T
HD133813,G9V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-23T11:02:48.413.fits,18705,18716,3968.39,3968.5,52.54,T
HD13789,K3/4V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:19:11.450.fits,15174,15189,3933.42,3933.57,22.69,T
HD13789,K3/4V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:19:11.450.fits,15190,15199,3933.58,3933.67,22.69,T
HD139084,K0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:50.513.fits,15180,15196,3933.61,3933.77,40.11,T
HD139763,K6Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:04:14.297.fits,15218,15223,3933.61,3933.66,15.57,T
HD139763,K6Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:04:14.297.fits,15224,15228,3933.67,3933.71,15.57,T
HD139763,K6Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:04:14.297.fits,18717,18721,3968.6,3968.64,15.57,T
HD146464,K3Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-07T08:35:35.853.fits,15179,15226,3933.45,3933.92,28.11,T
HD146464,K3Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-07T08:35:35.853.fits,18664,18704,3968.3,3968.7,28.11,T
