stars,spectral_types,specfiles,hits_start,hits_end,waves1,waves2,distances,HorK
GJ218,M1.5,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:23:37.810.fits,15238,15258,3933.9,3934.1,14.5,T
GJ250,K3.5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2023-05-05T07:01:06.574.fits,18602,18609,3968.3,3968.37,8.75,T
GJ281,M0.0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-09T02:00:55.183.fits,15155,15191,3933.75,3934.11,15.06,T
GJ281,M0.0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-09T02:00:55.183.fits,18639,18669,3968.59,3968.89,15.06,T
GJ285,M4.0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2023-12-26T01:00:59.613.fits,15026,15058,3933.86,3934.18,5.99,T
GJ285,M4.0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2023-12-26T01:00:59.613.fits,18509,18537,3968.69,3968.97,5.99,T
GJ3018,M0.5,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:21:17.720.fits,15194,15199,3933.29,3933.34,18.77,T
GJ3102,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-10-11T01:02:07.114.fits,15161,15201,3933.35,3933.75,22.16,T
GJ3102,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-10-11T01:02:07.114.fits,18644,18679,3968.18,3968.53,22.16,T
GJ313,K4+Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2019-06-23T01:13:00.081.fits,15226,15251,3933.82,3934.07,31.6,T
GJ3148,M3Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:54:17.290.fits,15223,15241,3933.83,3934.01,13.41,T
GJ3148,M3Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:54:17.290.fits,18703,18721,3968.63,3968.81,13.41,T
GJ3221,M3.5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:37:25.580.fits,18673,18683,3968.5,3968.6,17.11,T
